Price,API
12.02,27
12.04,28.5
12.32,30.8
12.27,31.3
12.49,31.9
12.70,34.5
12.80,34
13.00,34.7
13.00,37
13.17,41.1
13.19,41
13.22,38.8
13.27,39.3
