Year,Interval
79,NA
172,93
203,31
472,269
512,40
685,173
968,283
991,23
993,2
999,6
1037,38
1068,31
1078,10
1139,61
1500,361
1631,131
1794,163
1822,28
1834,12
1850,16
1872,22
1895,23
1905,10
1906,1
1913,7
1929,16
1944,15
